shop_name,shop_address,location
实味营养早餐,高淳县淳溪镇北漪路8号3区303,"118.971899793,31.3363813481"
青露馒头(古柏店),古柏菜场北门,"118.945424396,31.3679290174"
吴记重庆小面,甘霖路北岭山庄18号,"118.877141909,31.3348416864"
勾馋麻辣烫专门店,淳溪镇镇北路27-7号,"118.873989035,31.3296757601"
淳冰冷饮批发(镇北路店),淳溪镇镇北路22-16号,"118.87471659,31.3296531317"
铁板鱿鱼,淳溪镇学山路97号,"118.876064537,31.3312261385"
芝心人披萨,淳溪镇天河路86号1幢101-1室,"118.872318249,31.3291050995"
慢城茶,淳溪镇中山大街255号,"118.872624373,31.3286887251"
三顾冒菜(高淳店),淳溪镇镇北路26号-16,"118.874070659,31.3292069333"
鲜果部落,通贤街871号宏达大厦负一层,"118.874779814,31.3276141856"
悠悠小吃,石臼湖北路18-10号,"118.894072186,31.3353886883"
彭德楷黄焖鸡米饭,北漪路华天菜场东门口,"118.888995707,31.3356850433"
一芳台湾水果茶,淳溪镇镇兴路138号,"118.880609155,31.3344144676"
冬冬排档酸菜鱼,大桥路与天河路交叉口东,"118.871436185,31.3308660492"
大脸鸡排(阳江店),阳江镇永丰路58号,"118.821052844,31.3373998287"
老犟烤肉拌饭,淳溪镇石臼湖北路15-7门面,"118.893744654,31.3375310539"
安特鲁(金地华城店),淳溪镇凯悦路金地华城菜场A07商铺,"118.892243288,31.3391536959"
老成都水煮腰片,固城湖南路11号,"118.884320022,31.3286034114"
好7,北岭路186号,"118.906839776,31.3404943532"
漫和牛排(高淳店),富克斯流行广场负一楼B015,"118.876320465,31.3293396574"
摩天轮鸡排奶茶,淳溪镇北漪路33号-6,"118.889276648,31.338310467"
春花水饺,淳溪镇淳中路37-6号,"118.874717313,31.3303843219"
忘不了酸菜鱼馆,淳溪镇学山路35号,"118.87654576,31.3300237046"
一碗米线,淳溪镇淳中路10号富克斯流行广场B1层011区,"118.876320465,31.3293396574"
火焰烧烤扎啤城,宝塔路101号-20,"118.886870627,31.3318573263"
90'people炸鸡和啤酒,淳溪镇温州商贸城022号,"118.883934113,31.3288193048"
娟娟锅巴,淳溪镇天河路31-6号,"118.871094127,31.3283838658"
涮捞煮义旋转小火锅,古柏镇茅山路A区38号,"118.936026716,31.3600769304"
新业蛋糕,淳安东路巴弟鸡排对面,"121.486558039,31.2176205278"
十里飘香烤猪蹄(高淳分店),淳溪镇宝塔路101号-43,"118.885425195,31.3323122678"
淮南牛肉汤(古柏店),经济开发区茅山路北侧（新区医院以西）4号,"118.94806588,31.367366046"
好7中式快餐(淳中路店),淳中路36号-9,"118.874882772,31.3308213833"
砖墙人家炒面,淳溪镇华天商贸城310号,"118.882962894,31.3282334938"
七十二变(高淳老街店),淳溪镇中山大街78号,"118.875982076,31.324965408"
黄泥叫花鸡,淳溪镇北漪路5号7区722号北漪市场商铺,"118.887721174,31.3317980745"
兰州正宗牛肉拉面,淳溪镇北漪路,"118.892243288,31.3391536959"
甜荟奶茶霜饮,镇兴路138号,"118.880609155,31.3344144676"
任师傅烤肉饭(古柏分店),古柏镇桃源雅居A区茅山路A60,"118.946877476,31.3670728192"
何记桂林米线,华天商贸城303号,"118.882711761,31.3281639352"
何记桂林米线,天河路86号1幢106室,"118.872318249,31.3291050995"
老四川酸菜鱼,石臼湖北路19-14号,"118.893440118,31.3400048883"
苗记大碗面,淳中路36号—7,"118.874990118,31.3307623125"
来一串,淳溪镇淳中路37-18,"118.874420327,31.3308091757"
叫了只鸡,天河路44号肯德基斜对面,"121.587655172,38.9918977936"
COFFEE小厨,淳溪镇通贤街30号,"118.87472732,31.3275890622"
